car_brand,car_model,car_variant,car_price,car_transmission,car_mileage,car_year,car_location,car_link
Toyota,YARIS,YARIS 1.5 S CVT GR SPORT,285600000,Automatic,10634,2021,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-yaris-1-5-s-cvt-gr-sport-2021/p/SN202212-0000006108
Toyota,AVANZA,VELOZ 1.5 Q CVT,285600000,Automatic,15338,2022,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-avanza-veloz-1-5-q-cvt-2022/p/SN202212-0000000102
Toyota,RAIZE,RAIZE 1.0T GR SPORT CVT TSS,280500000,Automatic,15244,2021,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-raize-raize-1-0t-gr-sport-cvt-tss-2021/p/SN202212-0000001001
Toyota,RAIZE,GR TURBO SPORT TSS 2T (RAIZE),260000000,Automatic,11878,2022,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-raize-gr-turbo-sport-tss-2t-2022/p/SN202306-000000361
Toyota,INNOVA,V (INNOVA),423300000,Automatic,23178,2022,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-innova-v-2022/p/SN202307-0000000023
Toyota,CX5,CX5 GT,510000000,Automatic,24506,2020,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-cx5-cx5-gt-2020/p/SN202210-0000000003
Toyota,FORTUNER,FORTUNER 2.4 VRZ TRD AT DIESEL (NEW),525300000,Automatic,53103,2020,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-fortuner-2-4-vrz-trd-at-diesel-2020/p/SN202210-0000000040
Toyota,INNOVA,2.0 V ,413100000,Automatic,17053,2022,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-innova-2-4-v-2022/p/SN202301-0000002006
Toyota,AGYA,AGYA 1.2 G AT TRD BENSIN (ALL NEW),168300000,Automatic,14002,2021,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-agya-agya-1-2-g-at-trd-bensin-2021/p/SN202212-0000001103
Toyota,AGYA,G TRD (AGYA),137000000,Automatic,23890,2018,Kota Jakarta Utara,https://www.mobbi.id/in/mobil-bekas/toyota-agya-g-trd-2018/p/SN202112-000000454
Toyota,RUSH,S TRD (RUSH),247000000,Automatic,29012,2021,Kota Palembang,https://www.mobbi.id/in/mobil-bekas/toyota-rush-s-trd-2021/p/SN202306-000000140
Toyota,FORTUNER,FORTUNER 2.4 VRZ TRD AT DIESEL (NEW),499800000,Automatic,32159,2019,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-fortuner-2-4-vrz-trd-at-diesel-2019/p/SN202212-0000006054
Toyota,RUSH,S TRD (RUSH),231000000,Automatic,66467,2018,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-rush-s-trd-2018/p/SN202303-000000166
Toyota,CALYA,G (CALYA),146000000,Automatic,45656,2019,Kota Semarang,https://www.mobbi.id/in/mobil-bekas/toyota-calya-g-2019/p/SN202306-000000163
Toyota,ALTIS,V NEW (ALTIS),344000000,Automatic,46280,2019,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-altis-v-new-2019/p/SN202306-000000168
Toyota,YARIS,S TRD 7AB (YARIS),238000000,Automatic,28295,2019,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-7ab-2019/p/SN202303-000000355
Toyota,YARIS,S TRD HEYKERS (YARIS),206800000,Automatic,39596,2017,Kota Balikpapan,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-heykers-2017/p/SN202307-000000381
Toyota,FORTUNER,VRZ TRD (FORTUNER),505000000,Automatic,63969,2020,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-trd-2020/p/SN202305-000000798
Toyota,YARIS,S TRD (YARIS),190000000,Automatic,36637,2018,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-2018/p/SN202305-000000803
Toyota,RUSH,S TRD (RUSH),145000000,Automatic,102801,2013,Kota Palembang,https://www.mobbi.id/in/mobil-bekas/toyota-rush-s-trd-2013/p/SN202306-000000009
Toyota,SIENTA,Q (SIENTA),229000000,Automatic,39340,2019,Kota Semarang,https://www.mobbi.id/in/mobil-bekas/toyota-sienta-q-2019/p/SN202306-000000048
Toyota,FORTUNER,VRZ (FORTUNER),453000000,Automatic,58899,2019,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-2019/p/SN202306-000000054
Toyota,YARIS,S TRD 7AB (YARIS),224000000,Automatic,62237,2018,Kota Semarang,https://www.mobbi.id/in/mobil-bekas/toyota-yaris-s-trd-7ab-2018/p/SN202306-000000056
Toyota,CALYA,G (CALYA),129000000,Manual,46153,2019,Kota Semarang,https://www.mobbi.id/in/mobil-bekas/toyota-calya-g-2019/p/SN202306-000000059
Toyota,C-HR,HYBRID (C-HR),450000000,Automatic,23638,2021,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-c-hr-hybrid-2021/p/SN202306-000000351
Toyota,AGYA,G (AGYA),135000000,Manual,33963,2019,Kota Surabaya,https://www.mobbi.id/in/mobil-bekas/-agya-g-2019/p/SN202307-000000247
Toyota,FORTUNER,VRZ (FORTUNER),461000000,Automatic,51055,2018,Kota Medan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-2018/p/SN202305-000000338
Toyota,INNOVA,G (INNOVA),319000000,Automatic,85825,2017,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-2017/p/SN202306-000000200
Toyota,INNOVA,G (INNOVA),322000000,Manual,87857,2019,Kota Surabaya,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-2019/p/SN202306-000000210
Toyota,FORTUNER,FORTUNER 2.4 VRZ AT DIESEL (NEW),469200000,Automatic,86470,2019,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-fortuner-2-4-vrz-at-diesel-2019/p/SN202210-0000000039
Toyota,INNOVA,V LUX (INNOVA),345000000,Manual,55533,2017,Kota Jakarta Pusat,https://www.mobbi.id/in/mobil-bekas/toyota-innova-v-lux-2017/p/SN202306-000000418
Toyota,INNOVA,G LUX (INNOVA),340000000,Automatic,38745,2018,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-lux-2018/p/SN202306-000000431
Toyota,FORTUNER,VRZ (FORTUNER),421000000,Automatic,77804,2018,Kota Jakarta Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-2018/p/SN202306-000000460
Toyota,YARIS,S TRD (YARIS),206000000,Automatic,55134,2017,Kota Jakarta Utara,https://www.mobbi.id/in/mobil-bekas/Toyota-YARIS/p/SN201912-000000028
Toyota,FORTUNER,VRZ (FORTUNER),456500000,Automatic,76099,2018,Kota Palembang,https://www.mobbi.id/in/mobil-bekas/toyota-fortuner-vrz-2018/p/SN202305-000000318
Toyota,RUSH,S TRD SPORTIVO ULTIMO (RUSH),197000000,Manual,47491,2017,Kota Palembang,https://www.mobbi.id/in/mobil-bekas/toyota-rush-s-trd-sportivo-ultimo-2017/p/SN202305-000000608
Toyota,AGYA,G TRD (AGYA),145000000,Automatic,55613,2019,Kota Bekasi,https://www.mobbi.id/in/mobil-bekas/toyota-agya-g-trd-2019/p/SN202306-000000285
Toyota,RUSH,S TRD (RUSH),177000000,Automatic,99237,2016,Kab. Tangerang,https://www.mobbi.id/in/mobil-bekas/toyota-rush-s-trd-2016/p/SN202306-000000296
Toyota,SIENTA,V (SIENTA),215000000,Automatic,36588,2019,Kota Bandung,https://www.mobbi.id/in/mobil-bekas/toyota-sienta-v-2019/p/SN202306-000000327
Toyota,INNOVA,G (INNOVA),261000000,Automatic,86610,2017,Kota Depok,https://www.mobbi.id/in/mobil-bekas/toyota-innova-g-2017/p/SN202307-000000167
Toyota,AGYA,G (AGYA),105600000,Manual,43496,2017,Kota Pekanbaru,https://www.mobbi.id/in/mobil-bekas/toyota-agya-g-2017/p/SN202307-000000207
Toyota,ALTIS,V (ALTIS),287000000,Automatic,78592,2018,Kota Tangerang Selatan,https://www.mobbi.id/in/mobil-bekas/toyota-altis-v-2018/p/SN202203-000000218
